Common name;Scientific name;Status;No.;No. Back
Northern Rockhopper Penguin;Eudyptes moseleyi;;1;0
Royal Penguin;Eudyptes schlegeli;;10;0
Macaroni Penguin;Eudyptes chrysolophus;;3;0
Yellow-eyed Penguin;Megadyptes antipodes;;2;1
Little Penguin;Eudyptula minor;;13;2
African Penguin;Spheniscus demersus;;21;1
Magellanic Penguin;Spheniscus magellanicus;;11;3
Humboldt Penguin;Spheniscus humboldti;;2;0
Galapagos Penguin;Spheniscus mendiculus;;1;0
Wilson's Storm Petrel;Oceanites oceanicus;;3;0
Elliot's Storm Petrel;Oceanites gracilis;;15;0
Pincoya Storm Petrel;Oceanites pincoyae;;0;0
Grey-backed Storm Petrel;Garrodia nereis;;0;0
White-faced Storm Petrel;Pelagodroma marina;;4;0
White-bellied Storm Petrel;Fregetta grallaria;;0;0
Black-bellied Storm Petrel;Fregetta tropica;;1;0
New Zealand Storm Petrel;Fregetta maoriana;;0;0
Polynesian Storm Petrel;Nesofregetta fuliginosa;;0;0
Laysan Albatross;Phoebastria immutabilis;;143;91
Black-footed Albatross;Phoebastria nigripes;;22;18
Waved Albatross;Phoebastria irrorata;;5;2
Short-tailed Albatross;Phoebastria albatrus;;0;0
Wandering Albatross;Diomedea exulans;;2;0
Antipodean Albatross;Diomedea antipodensis;;11;3
Amsterdam Albatross;Diomedea amsterdamensis;;0;0
Tristan Albatross;Diomedea dabbenena;;1;0
Southern Royal Albatross;Diomedea epomophora;;7;1
Northern Royal Albatross;Diomedea sanfordi;;1;0
Sooty Albatross;Phoebetria fusca;;0;0
Light-mantled Albatross;Phoebetria palpebrata;;5;1
Black-browed Albatross;Thalassarche melanophris;;17;3
Campbell Albatross;Thalassarche impavida;;0;0
Shy Albatross;Thalassarche cauta;;15;1
Chatham Albatross;Thalassarche eremita;;2;0
Salvin's Albatross;Thalassarche salvini;;9;0
Grey-headed Albatross;Thalassarche chrysostoma;;0;0
Atlantic Yellow-nosed Albatross;Thalassarche chlororhynchos;;0;0
Indian Yellow-nosed Albatross;Thalassarche carteri;;1;0
Buller's Albatross;Thalassarche bulleri;;2;3
European Storm Petrel;Hydrobates pelagicus;;43;4
Least Storm Petrel;Oceanodroma microsoma;;0;0
Wedge-rumped Storm Petrel;Oceanodroma tethys;;0;0
Band-rumped Storm Petrel;Oceanodroma castro;;17;8
Monteiro's Storm Petrel;Oceanodroma monteiroi;;0;0
Cape Verde Storm Petrel;Oceanodroma jabejabe;;0;0
Swinhoe's Storm Petrel;Oceanodroma monorhis;;6;1
Leach's Storm Petrel;Oceanodroma leucorhoa;;10;0
Townsend's Storm Petrel;Oceanodroma socorroensis;;0;0
Ainley's Storm Petrel;Oceanodroma cheimomnestes;;0;0
Markham's Storm Petrel;Oceanodroma markhami;;2;0
Tristram's Storm Petrel;Oceanodroma tristrami;;1;0
Black Storm Petrel;Oceanodroma melania;;0;0
Guadalupe Storm Petrel;Oceanodroma macrodactyla;Extinct;0;0
Matsudaira's Storm Petrel;Oceanodroma matsudairae;;0;0
Ashy Storm Petrel;Oceanodroma homochroa;;1;0
Hornby's Storm Petrel;Oceanodroma hornbyi;;3;0
Fork-tailed Storm Petrel;Oceanodroma furcata;;3;0
Southern Giant Petrel;Macronectes giganteus;;1;1
Northern Giant Petrel;Macronectes halli;;9;4
Northern Fulmar;Fulmarus glacialis;;65;25
Southern Fulmar;Fulmarus glacialoides;;1;0
Antarctic Petrel;Thalassoica antarctica;;3;0
Cape Petrel;Daption capense;;10;13
Snow Petrel;Pagodroma nivea;;1;0
Blue Petrel;Halobaena caerulea;;3;0
Broad-billed Prion;Pachyptila vittata;;4;1
Salvin's Prion;Pachyptila salvini;;0;0
Antarctic Prion;Pachyptila desolata;;3;0
Slender-billed Prion;Pachyptila belcheri;;1;0
Fairy Prion;Pachyptila turtur;;6;1
Fulmar Prion;Pachyptila crassirostris;;2;0
Kerguelen Petrel;Aphrodroma brevirostris;;2;0
Great-winged Petrel;Pterodroma macroptera;;0;0
White-headed Petrel;Pterodroma lessonii;;2;0
Grey-faced Petrel;Pterodroma gouldi;;3;1
Atlantic Petrel;Pterodroma incerta;;1;1
Providence Petrel;Pterodroma solandri;;2;0
Magenta Petrel;Pterodroma magentae;;4;0
Murphy's Petrel;Pterodroma ultima;;0;0
Soft-plumaged Petrel;Pterodroma mollis;;1;1
Zino's Petrel;Pterodroma madeira;;28;0
Fea's Petrel;Pterodroma feae;;1;0
Desertas Petrel;Pterodroma deserta;;3;0
Bermuda Petrel;Pterodroma cahow;;0;0
Black-capped Petrel;Pterodroma hasitata;;0;0
Jamaican Petrel;Pterodroma caribbaea;Extinct;0;0
Juan Fernandez Petrel;Pterodroma externa;;0;0
Vanuatu Petrel;Pterodroma occulta;;0;0
Kermadec Petrel;Pterodroma neglecta;;3;1
Herald Petrel;Pterodroma heraldica;;12;0
Trindade Petrel;Pterodroma arminjoniana;;4;1
Henderson Petrel;Pterodroma atrata;;0;0
Phoenix Petrel;Pterodroma alba;;1;0
Barau's Petrel;Pterodroma baraui;;4;0
Hawaiian Petrel;Pterodroma sandwichensis;;4;0
Galapagos Petrel;Pterodroma phaeopygia;;1;0
Mottled Petrel;Pterodroma inexpectata;;1;0
White-necked Petrel;Pterodroma cervicalis;;2;0
Black-winged Petrel;Pterodroma nigripennis;;4;1
Chatham Petrel;Pterodroma axillaris;;2;0
Bonin Petrel;Pterodroma hypoleuca;;35;39
Gould's Petrel;Pterodroma leucoptera;;1;0
Collared Petrel;Pterodroma brevipes;;0;0
Cook's Petrel;Pterodroma cookii;;3;0
De Filippi's Petrel;Pterodroma defilippiana;;0;0
Stejneger's Petrel;Pterodroma longirostris;;0;0
Pycroft's Petrel;Pterodroma pycrofti;;0;0
Mascarene Petrel;Pseudobulweria aterrima;;0;0
St. Helena Petrel;Pseudobulweria rupinarum;Extinct;0;0
Tahiti Petrel;Pseudobulweria rostrata;;2;0
Beck's Petrel;Pseudobulweria becki;;0;0
Fiji Petrel;Pseudobulweria macgillivrayi;;0;0
Grey Petrel;Procellaria cinerea;;2;0
White-chinned Petrel;Procellaria aequinoctialis;;9;0
Spectacled Petrel;Procellaria conspicillata;;0;0
Black Petrel;Procellaria parkinsoni;;2;0
Westland Petrel;Procellaria westlandica;;3;0
Streaked Shearwater;Calonectris leucomelas;;2;0
Scopoli's Shearwater;Calonectris diomedea;;25;1
Cory's Shearwater;Calonectris borealis;;60;9
Cape Verde Shearwater;Calonectris edwardsii;;0;0
Wedge-tailed Shearwater;Ardenna pacifica;;27;1
Buller's Shearwater;Ardenna bulleri;;0;0
Sooty Shearwater;Ardenna grisea;;12;2
Short-tailed Shearwater;Ardenna tenuirostris;;3;0
Pink-footed Shearwater;Ardenna creatopus;;17;1
Flesh-footed Shearwater;Ardenna carneipes;;9;0
Great Shearwater;Ardenna gravis;;2;1
Christmas Shearwater;Puffinus nativitatis;;4;0
Manx Shearwater;Puffinus puffinus;;147;4
Yelkouan Shearwater;Puffinus yelkouan;;10;2
Balearic Shearwater;Puffinus mauretanicus;;6;0
Bryan's Shearwater;Puffinus bryani;;0;0
Black-vented Shearwater;Puffinus opisthomelas;;1;0
Townsend's Shearwater;Puffinus auricularis;;0;0
Newell's Shearwater;Puffinus newelli;;1;0
Rapa Shearwater;Puffinus myrtae;;0;0
Fluttering Shearwater;Puffinus gavia;;2;1
Hutton's Shearwater;Puffinus huttoni;;1;0
Audubon's Shearwater;Puffinus lherminieri;;2;0
Persian Shearwater;Puffinus persicus;;1;0
Tropical Shearwater;Puffinus bailloni;;3;0
Galapagos Shearwater;Puffinus subalaris;;4;0
Bannerman's Shearwater;Puffinus bannermani;;0;0
Heinroth's Shearwater;Puffinus heinrothi;;0;0
Little Shearwater;Puffinus assimilis;;3;0
Subantarctic Shearwater;Puffinus elegans;;0;0
Barolo Shearwater;Puffinus baroli;;17;3
Boyd's Shearwater;Puffinus boydi;;0;0
Peruvian Diving Petrel;Pelecanoides garnotii;;0;0
Magellanic Diving Petrel;Pelecanoides magellani;;0;0
South Georgia Diving Petrel;Pelecanoides georgicus;;1;0
Common Diving Petrel;Pelecanoides urinatrix;;3;0
Bulwer's Petrel;Bulweria bulwerii;;5;0
Olson's Petrel;Bulweria bifax;Extinct;0;0
Jouanin's Petrel;Bulweria fallax;;0;0
Alaotra Grebe;Tachybaptus rufolavatus;Extinct;0;0
Little Grebe;Tachybaptus ruficollis;;721;479
Tricolored Grebe;Tachybaptus tricolor;;2;0
Australasian Grebe;Tachybaptus novaehollandiae;;9;2
Madagascan Grebe;Tachybaptus pelzelnii;;13;0
Least Grebe;Tachybaptus dominicus;;76;9
Pied-billed Grebe;Podilymbus podiceps;;162;82
Atitlan Grebe;Podilymbus gigas;Extinct;0;0
White-tufted Grebe;Rollandia rolland;;9;1
Titicaca Grebe;Rollandia microptera;;4;0
Hoary-headed Grebe;Poliocephalus poliocephalus;;5;0
New Zealand Grebe;Poliocephalus rufopectus;;0;0
Great Grebe;Podiceps major;;29;5
Red-necked Grebe;Podiceps grisegena;;94;52
Great Crested Grebe;Podiceps cristatus;;211;162
Horned Grebe;Podiceps auritus;;82;3
Black-necked Grebe;Podiceps nigricollis;;74;24
Colombian Grebe;Podiceps andinus;Extinct;0;0
Silvery Grebe;Podiceps occipitalis;;36;5
Junin Grebe;Podiceps taczanowskii;;12;0
Hooded Grebe;Podiceps gallardoi;;38;14
Western Grebe;Aechmophorus occidentalis;;66;25
Clark's Grebe;Aechmophorus clarkii;;26;19
Greater Flamingo;Phoenicopterus roseus;;155;276
American Flamingo;Phoenicopterus ruber;;12;3
Chilean Flamingo;Phoenicopterus chilensis;;18;4
Lesser Flamingo;Phoeniconaias minor;;19;1
Andean Flamingo;Phoenicoparrus andinus;;18;1
James's Flamingo;Phoenicoparrus jamesi;;10;4
Red-billed Tropicbird;Phaethon aethereus;;20;5
Red-tailed Tropicbird;Phaethon rubricauda;;33;35
White-tailed Tropicbird;Phaethon lepturus;;24;1
Wood Stork;Mycteria americana;;17;7
Milky Stork;Mycteria cinerea;;1;0
Yellow-billed Stork;Mycteria ibis;;2;0
Painted Stork;Mycteria leucocephala;;13;3
Asian Openbill;Anastomus oscitans;;4;1
African Openbill;Anastomus lamelligerus;;1;0
Black Stork;Ciconia nigra;;24;0
Abdim's Stork;Ciconia abdimii;;0;0
Woolly-necked Stork;Ciconia episcopus;;0;0
Storm's Stork;Ciconia stormi;;0;0
Maguari Stork;Ciconia maguari;;3;0
White Stork;Ciconia ciconia;;86;22
Oriental Stork;Ciconia boyciana;;5;1
Black-necked Stork;Ephippiorhynchus asiaticus;;0;0
Saddle-billed Stork;Ephippiorhynchus senegalensis;;0;0
Jabiru;Jabiru mycteria;;16;2
Lesser Adjutant;Leptoptilos javanicus;;1;0
Greater Adjutant;Leptoptilos dubius;;0;0
Marabou Stork;Leptoptilos crumenifer;;14;1
African Sacred Ibis;Threskiornis aethiopicus;;8;0
Malagasy Sacred Ibis;Threskiornis bernieri;;0;0
Reunion Ibis;Threskiornis solitarius;Extinct;0;0
Black-headed Ibis;Threskiornis melanocephalus;;6;1
Australian White Ibis;Threskiornis molucca;;13;7
Straw-necked Ibis;Threskiornis spinicollis;;4;0
Red-naped Ibis;Pseudibis papillosa;;12;0
White-shouldered Ibis;Pseudibis davisoni;;14;1
Giant Ibis;Pseudibis gigantea;;14;0
Northern Bald Ibis;Geronticus eremita;;46;9
Southern Bald Ibis;Geronticus calvus;;1;0
Crested Ibis;Nipponia nippon;;11;0
Olive Ibis;Bostrychia olivacea;;2;0
Sao Tome Ibis;Bostrychia bocagei;;1;0
Spot-breasted Ibis;Bostrychia rara;;9;0
Hadada Ibis;Bostrychia hagedash;;126;165
Wattled Ibis;Bostrychia carunculata;;13;1
Plumbeous Ibis;Theristicus caerulescens;;51;37
Buff-necked Ibis;Theristicus caudatus;;103;56
Black-faced Ibis;Theristicus melanopis;;39;5
Andean Ibis;Theristicus branickii;;14;1
Sharp-tailed Ibis;Cercibis oxycerca;;18;3
Green Ibis;Mesembrinibis cayennensis;;90;48
Bare-faced Ibis;Phimosus infuscatus;;18;1
American White Ibis;Eudocimus albus;;49;9
Scarlet Ibis;Eudocimus ruber;;6;2
Glossy Ibis;Plegadis falcinellus;;67;29
White-faced Ibis;Plegadis chihi;;59;9
Puna Ibis;Plegadis ridgwayi;;17;3
Madagascan Ibis;Lophotibis cristata;;3;0
Eurasian Spoonbill;Platalea leucorodia;;24;33
Black-faced Spoonbill;Platalea minor;;2;0
African Spoonbill;Platalea alba;;5;0
Royal Spoonbill;Platalea regia;;1;0
Yellow-billed Spoonbill;Platalea flavipes;;1;0
Roseate Spoonbill;Platalea ajaja;;27;8
Forest Bittern;Zonerodius heliosylus;;0;0
White-crested Tiger Heron;Tigriornis leucolopha;;3;0
Rufescent Tiger Heron;Tigrisoma lineatum;;64;17
Fasciated Tiger Heron;Tigrisoma fasciatum;;4;0
Bare-throated Tiger Heron;Tigrisoma mexicanum;;25;3
Agami Heron;Agamia agami;;11;1
Boat-billed Heron;Cochlearius cochlearius;;33;9
Zigzag Heron;Zebrilus undulatus;;57;17
Eurasian Bittern;Botaurus stellaris;;424;244
Australasian Bittern;Botaurus poiciloptilus;;4;1
American Bittern;Botaurus lentiginosus;;76;46
Pinnated Bittern;Botaurus pinnatus;;20;0
Stripe-backed Bittern;Ixobrychus involucris;;20;0
Least Bittern;Ixobrychus exilis;;126;23
Little Bittern;Ixobrychus minutus;;327;35
Black-backed Bittern;Ixobrychus dubius;;1;1
New Zealand Bittern;Ixobrychus novaezelandiae;Extinct;0;0
Yellow Bittern;Ixobrychus sinensis;;13;0
Von Schrenck's Bittern;Ixobrychus eurhythmus;;11;3
Cinnamon Bittern;Ixobrychus cinnamomeus;;7;2
Dwarf Bittern;Ixobrychus sturmii;;1;1
Black Bittern;Dupetor flavicollis;;11;0
White-eared Night Heron;Gorsachius magnificus;;1;0
Japanese Night Heron;Gorsachius goisagi;;9;0
Malayan Night Heron;Gorsachius melanolophus;;21;0
White-backed Night Heron;Gorsachius leuconotus;;5;2
Black-crowned Night Heron;Nycticorax nycticorax;;515;102
Ascension Night Heron;Nycticorax olsoni;Extinct;0;0
Reunion Night Heron;Nycticorax duboisi;Extinct;0;0
Mauritius Night Heron;Nycticorax mauritianus;Extinct;0;0
Rodrigues Night Heron;Nycticorax megacephalus;Extinct;0;0
Nankeen Night Heron;Nycticorax caledonicus;;17;1
Yellow-crowned Night Heron;Nyctanassa violacea;;52;2
Bermuda Night Heron;Nyctanassa carcinocatactes;Extinct;0;0
Green Heron;Butorides virescens;;92;42
Lava Heron;Butorides sundevalli;;0;0
Striated Heron;Butorides striata;;127;20
Squacco Heron;Ardeola ralloides;;54;13
Indian Pond Heron;Ardeola grayii;;16;1
Chinese Pond Heron;Ardeola bacchus;;19;0
Javan Pond Heron;Ardeola speciosa;;2;3
Malagasy Pond Heron;Ardeola idae;;0;0
Rufous-bellied Heron;Ardeola rufiventris;;0;0
Western Cattle Egret;Bubulcus ibis;;177;94
Eastern Cattle Egret;Bubulcus coromandus;;8;0
Grey Heron;Ardea cinerea;;733;418
Great Blue Heron;Ardea herodias;;106;45
Cocoi Heron;Ardea cocoi;;52;12
White-necked Heron;Ardea pacifica;;5;2
Black-headed Heron;Ardea melanocephala;;14;3
Humblot's Heron;Ardea humbloti;;0;0
White-bellied Heron;Ardea insignis;;2;0
Great-billed Heron;Ardea sumatrana;;15;0
Goliath Heron;Ardea goliath;;1;0
Purple Heron;Ardea purpurea;;128;40
Great Egret;Ardea alba;;247;76
Intermediate Egret;Ardea intermedia;;13;0
Capped Heron;Pilherodius pileatus;;6;0
Whistling Heron;Syrigma sibilatrix;;59;6
Pied Heron;Egretta picata;;4;0
White-faced Heron;Egretta novaehollandiae;;9;0
Reddish Egret;Egretta rufescens;;15;0
Black Heron;Egretta ardesiaca;;5;0
Slaty Egret;Egretta vinaceigula;;0;0
Tricolored Heron;Egretta tricolor;;42;10
Little Blue Heron;Egretta caerulea;;48;5
Snowy Egret;Egretta thula;;70;21
Little Egret;Egretta garzetta;;288;93
Western Reef Heron;Egretta gularis;;16;10
Dimorphic Egret;Egretta dimorpha;;4;0
Pacific Reef Heron;Egretta sacra;;7;0
Chinese Egret;Egretta eulophotes;;0;0
Hamerkop;Scopus umbretta;;31;5
Shoebill;Balaeniceps rex;;0;0
Great White Pelican;Pelecanus onocrotalus;;12;3
Pink-backed Pelican;Pelecanus rufescens;;0;0
Spot-billed Pelican;Pelecanus philippensis;;4;1
Dalmatian Pelican;Pelecanus crispus;;2;0
Australian Pelican;Pelecanus conspicillatus;;6;1
American White Pelican;Pelecanus erythrorhynchos;;6;1
Brown Pelican;Pelecanus occidentalis;;10;3
Peruvian Pelican;Pelecanus thagus;;1;0
Ascension Frigatebird;Fregata aquila;;1;0
Christmas Frigatebird;Fregata andrewsi;;3;0
Magnificent Frigatebird;Fregata magnificens;;12;1
Great Frigatebird;Fregata minor;;25;2
Lesser Frigatebird;Fregata ariel;;0;0
Northern Gannet;Morus bassanus;;68;63
Cape Gannet;Morus capensis;;11;1
Australasian Gannet;Morus serrator;;4;0
Abbott's Booby;Papasula abbotti;;5;0
Blue-footed Booby;Sula nebouxii;;8;1
Peruvian Booby;Sula variegata;;0;0
Masked Booby;Sula dactylatra;;29;0
Nazca Booby;Sula granti;;8;6
Red-footed Booby;Sula sula;;43;9
Brown Booby;Sula leucogaster;;15;1
Little Pied Cormorant;Microcarbo melanoleucos;;1;0
Reed Cormorant;Microcarbo africanus;;3;3
Crowned Cormorant;Microcarbo coronatus;;0;0
Little Cormorant;Microcarbo niger;;4;1
Pygmy Cormorant;Microcarbo pygmaeus;;6;1
Red-legged Cormorant;Phalacrocorax gaimardi;;5;0
Flightless Cormorant;Phalacrocorax harrisi;;3;0
Bank Cormorant;Phalacrocorax neglectus;;0;0
Spotted Shag;Phalacrocorax punctatus;;1;0
Pitt Shag;Phalacrocorax featherstoni;;1;0
Pallas's Cormorant;Phalacrocorax perspicillatus;Extinct;0;0
Brandt's Cormorant;Phalacrocorax penicillatus;;7;1
Pelagic Cormorant;Phalacrocorax pelagicus;;6;0
Red-faced Cormorant;Phalacrocorax urile;;4;0
Neotropic Cormorant;Phalacrocorax brasilianus;;101;78
Double-crested Cormorant;Phalacrocorax auritus;;39;21
European Shag;Phalacrocorax aristotelis;;16;5
Black-faced Cormorant;Phalacrocorax fuscescens;;2;0
Indian Cormorant;Phalacrocorax fuscicollis;;1;3
Little Black Cormorant;Phalacrocorax sulcirostris;;3;0
Australian Pied Cormorant;Phalacrocorax varius;;1;0
Great Cormorant;Phalacrocorax carbo;;113;132
White-breasted Cormorant;Phalacrocorax lucidus;;8;2
Japanese Cormorant;Phalacrocorax capillatus;;4;0
Cape Cormorant;Phalacrocorax capensis;;3;0
Socotra Cormorant;Phalacrocorax nigrogularis;;0;0
Rock Shag;Phalacrocorax magellanicus;;5;2
Guanay Cormorant;Leucocarbo bougainvillii;;0;0
Imperial Shag;Leucocarbo atriceps;;6;0
South Georgia Shag;Leucocarbo georgianus;;0;0
Antarctic Shag;Leucocarbo bransfieldensis;;0;0
Heard Island Shag;Leucocarbo nivalis;;0;0
Crozet Shag;Leucocarbo melanogenis;;0;0
Macquarie Shag;Leucocarbo purpurascens;;0;0
Kerguelen Shag;Leucocarbo verrucosus;;1;0
New Zealand King Shag;Leucocarbo carunculatus;;0;0
Otago Shag;Leucocarbo chalconotus;;1;1
Foveaux Shag;Leucocarbo stewarti;;0;0
Chatham Shag;Leucocarbo onslowi;;0;0
Campbell Shag;Leucocarbo campbelli;;0;0
Auckland Shag;Leucocarbo colensoi;;1;0
Bounty Shag;Leucocarbo ranfurlyi;;0;0
Oriental Darter;Anhinga melanogaster;;12;3
African Darter;Anhinga rufa;;8;0
Australasian Darter;Anhinga novaehollandiae;;11;5
Anhinga;Anhinga anhinga;;51;24
Turkey Vulture;Cathartes aura;;7;3
Lesser Yellow-headed Vulture;Cathartes burrovianus;;0;0
Greater Yellow-headed Vulture;Cathartes melambrotus;;1;0
Black Vulture;Coragyps atratus;;58;7
King Vulture;Sarcoramphus papa;;2;0
California Condor;Gymnogyps californianus;;0;0
Andean Condor;Vultur gryphus;;5;0
Secretarybird;Sagittarius serpentarius;;5;0
Western Osprey;Pandion haliaetus;;237;61
Eastern Osprey;Pandion cristatus;;7;0
Black-winged Kite;Elanus caeruleus;;247;18
Black-shouldered Kite;Elanus axillaris;;5;0
White-tailed Kite;Elanus leucurus;;42;7
Letter-winged Kite;Elanus scriptus;;0;0
Pearl Kite;Gampsonyx swainsonii;;23;1
Scissor-tailed Kite;Chelictinia riocourii;;2;0
African Harrier-Hawk;Polyboroides typus;;13;6
Madagascan Harrier-Hawk;Polyboroides radiatus;;4;2
Palm-nut Vulture;Gypohierax angolensis;;0;0
Bearded Vulture;Gypaetus barbatus;;5;0
Egyptian Vulture;Neophron percnopterus;;4;0
Madagascan Serpent Eagle;Eutriorchis astur;;2;0
Grey-headed Kite;Leptodon cayanensis;;84;6
White-collared Kite;Leptodon forbesi;;17;0
Hook-billed Kite;Chondrohierax uncinatus;;22;1
Cuban Kite;Chondrohierax wilsonii;;0;0
European Honey Buzzard;Pernis apivorus;;86;2
Crested Honey Buzzard;Pernis ptilorhynchus;;107;8
Barred Honey Buzzard;Pernis celebensis;;1;0
Philippine Honey Buzzard;Pernis steerei;;1;0
Swallow-tailed Kite;Elanoides forficatus;;88;3
Square-tailed Kite;Lophoictinia isura;;5;0
Black-breasted Buzzard;Hamirostra melanosternon;;0;0
African Cuckoo-Hawk;Aviceda cuculoides;;5;0
Madagascan Cuckoo-Hawk;Aviceda madagascariensis;;1;0
Jerdon's Baza;Aviceda jerdoni;;11;0
Pacific Baza;Aviceda subcristata;;21;2
Black Baza;Aviceda leuphotes;;5;0
Long-tailed Honey Buzzard;Henicopernis longicauda;;0;0
Black Honey Buzzard;Henicopernis infuscatus;;0;0
Hooded Vulture;Necrosyrtes monachus;;2;0
White-backed Vulture;Gyps africanus;;4;0
White-rumped Vulture;Gyps bengalensis;;2;0
Indian Vulture;Gyps indicus;;1;0
Slender-billed Vulture;Gyps tenuirostris;;0;0
Rppell's Vulture;Gyps rueppelli;;6;0
Himalayan Vulture;Gyps himalayensis;;1;0
Griffon Vulture;Gyps fulvus;;56;115
Cape Vulture;Gyps coprotheres;;1;0
Red-headed Vulture;Sarcogyps calvus;;0;0
White-headed Vulture;Trigonoceps occipitalis;;0;0
Cinereous Vulture;Aegypius monachus;;4;0
Lappet-faced Vulture;Torgos tracheliotos;;0;0
Crested Serpent Eagle;Spilornis cheela;;171;29
Great Nicobar Serpent Eagle;Spilornis klossi;;0;0
Mountain Serpent Eagle;Spilornis kinabaluensis;;9;0
Sulawesi Serpent Eagle;Spilornis rufipectus;;12;0
Philippine Serpent Eagle;Spilornis holospilus;;18;2
Andaman Serpent Eagle;Spilornis elgini;;5;3
Philippine Eagle;Pithecophaga jefferyi;;7;1
Short-toed Snake Eagle;Circaetus gallicus;;55;22
Beaudouin's Snake Eagle;Circaetus beaudouini;;0;0
Black-chested Snake Eagle;Circaetus pectoralis;;1;0
Brown Snake Eagle;Circaetus cinereus;;0;0
Southern Banded Snake Eagle;Circaetus fasciolatus;;3;0
Western Banded Snake Eagle;Circaetus cinerascens;;6;0
Congo Serpent Eagle;Circaetus spectabilis;;14;5
Bateleur;Terathopius ecaudatus;;1;0
Bat Hawk;Macheiramphus alcinus;;8;0
Papuan Eagle;Harpyopsis novaeguineae;;16;4
Crested Eagle;Morphnus guianensis;;11;0
Harpy Eagle;Harpia harpyja;;54;1
Changeable Hawk-Eagle;Nisaetus cirrhatus;;71;2
Flores Hawk-Eagle;Nisaetus floris;;4;0
Mountain Hawk-Eagle;Nisaetus nipalensis;;33;0
Legge's Hawk-Eagle;Nisaetus kelaarti;;1;0
Blyth's Hawk-Eagle;Nisaetus alboniger;;16;2
Javan Hawk-Eagle;Nisaetus bartelsi;;5;0
Sulawesi Hawk-Eagle;Nisaetus lanceolatus;;12;0
Philippine Hawk-Eagle;Nisaetus philippensis;;1;0
Pinsker's Hawk-Eagle;Nisaetus pinskeri;;1;0
Wallace's Hawk-Eagle;Nisaetus nanus;;20;0
Black Hawk-Eagle;Spizaetus tyrannus;;149;22
Black-and-white Hawk-Eagle;Spizaetus melanoleucus;;17;0
Ornate Hawk-Eagle;Spizaetus ornatus;;75;8
Black-and-chestnut Eagle;Spizaetus isidori;;14;0
Crowned Eagle;Stephanoaetus coronatus;;48;3
Rufous-bellied Eagle;Lophotriorchis kienerii;;4;0
Martial Eagle;Polemaetus bellicosus;;6;0
Long-crested Eagle;Lophaetus occipitalis;;22;3
Black Eagle;Ictinaetus malaiensis;;6;0
Lesser Spotted Eagle;Clanga pomarina;;51;5
Indian Spotted Eagle;Clanga hastata;;7;0
Greater Spotted Eagle;Clanga clanga;;29;1
